8	1.333	0.0000322	-5.451
8.1	1.35 0.0000386	-5.368
8.2	1.367	0.0000455	-5.285
8.3	1.383	0.0000535	-5.201
8.4	1.4	0.0000629	-5.118
8.5	1.417	0.000074	-5.035
8.6	1.433	0.0000871	-4.951
8.7	1.45	0.000103	-4.868
8.8	1.467	0.000121	-4.785
8.9	1.483	0.000139	-4.701
9	1.5	0.000164	-4.618
9.1	1.517	0.000193	-4.535
9.2	1.533	0.000228	-4.451
9.3	1.55	0.000268	-4.368
9.4	1.567	0.000316	-4.285
9.5	1.583	0.000372	-4.201
9.6	1.6	0.000438	-4.118
9.7	1.617	0.000516	-4.035
9.8	1.633	0.000609	-3.951
9.9	1.65	0.000717	-3.868
10	1.667	0.000862	-3.785
10.1	1.683	0.000997	-3.701
10.2	1.7	0.00118	-3.618
10.3	1.717	0.001386	-3.535
10.4	1.733	0.001634	-3.451
10.5	1.75	0.001927	-3.368
10.6	1.767	0.002273	-3.285
10.7	1.783	0.002681	-3.201
10.8	1.8	0.003163	-3.118
10.9	1.817	0.003732	-3.035
11	1.833	0.00449	-2.951
11.1	1.85	0.005195	-2.868
11.2	1.867	0.006131	-2.785
11.3	1.883	0.007235	-2.701
11.4	1.9	0.008539	-2.618
11.5	1.917	0.001008	-2.535
11.6	1.933	0.0119	-2.451
11.7	1.95	0.01405	-2.368
11.8	1.967	0.01658	-2.285
11.9	1.983	0.01958	-2.201
12	2	0.0236	-2.118
12.1	2.017	0.0273	-2.035
12.2	2.033	0.03223	-1.951
12.3	2.05	0.03807	-1.868
12.4	2.067	0.04496	-1.785
12.5	2.083	0.0531	-1.701
12.6	2.1	0.06272	-1.618
12.7	2.117	0.07409	-1.535
12.8	2.133	0.08752	-1.451
12.9	2.15	0.1034	-1.368
13	2.167	0.125	-1.285
13.1	2.183	0.1443	-1.201
13.2	2.2	0.1705	-1.118
13.3	2.217	0.2015	-1.035
13.4	2.233	0.2381	-0.951
13.5	2.25	0.2813	-0.868
13.6	2.267	0.3324	-0.785
13.7	2.28	0.3927	-0.701
13.8	2.3	0.464	-0.618
13.9	2.317	0.5483	-0.535
14	2.333	0.661	-0.451
14.1	2.35	0.7653	-0.368
14.2	2.367	0.9041	-0.285
14.3	2.383	1.068	-0.201
14.4	2.4	1.261	-0.118
14.5	2.417	1.49	-0.035
14.6	2.433	1.759	0.049
14.7	2.45	2.076	0.132
14.8	2.467	2.449	0.215
14.9	2.483	2.889	0.299
15	2.5	3.41	0.382
15.1	2.517	4.013	0.465
15.2	2.533	4.726	0.549
15.3	2.55	5.561	0.632
15.4	2.567	6.538	0.715
15.5	2.583	7.678	0.799
15.6	2.6	9.006	0.882
15.7	2.617	10.55	0.965
15.8	2.633	12.33	1.049
15.9	2.65	14.39	1.132
16	2.667	16.8	1.215
16.1	2.683	19.47	1.299
16.2	2.7	22.55	1.382
16.3	2.717	26.04	1.465
16.4	2.733	29.97	1.549
16.5	2.75	34.36	1.632
16.6	2.767	39.23	1.715
16.7	2.783	44.61	1.799
16.8	2.8	50.48	1.882
16.9	2.817	56.86	1.965
17	2.833	63.2	2.049
17.1	2.85	34.65	2.132
17.2	2.867	47.49	2.215
17.3	2.883	60.18	2.299
17.4	2.9	72.68	2.382
17.5	2.917	84.93	2.465
17.6	2.933	97.05	2.549
17.7	2.95	109	2.632
17.8	2.967	120.9	2.715
17.9	2.983	132.6	2.799
18	3	152	2.882
18.1	3.017	155.3	2.965
18.2	3.033	166.5	3.049
18.3	3.05	177.6	3.132
18.4	3.067	188.5	3.215
18.5	3.083	199.3	3.299
18.6	3.1	209.9	3.382
18.7	3.117	220.3	3.465
18.8	3.133	230.7	3.549
18.9	3.15	240.9	3.632
19	3.167	252	3.715
19.1	3.183	261	3.779
19.2	3.2	270.8	3.882
19.3	3.217	280.5	3.965
19.4	3.233	290	4.049
19.5	3.25	299.5	4.132
19.6	3.267	308.9	4.215
19.7	3.283	318.2	4.299
19.8	3.3	327.2	4.382
19.9	3.317	336.2	4.465
20	3.333	345	4.549
